

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.007  000.007: --- NVIM STARTING ---
000.098  000.090: event init
000.189  000.091: early init
000.241  000.052: locale set
000.328  000.088: init first window
000.674  000.346: inits 1
000.699  000.025: window checked
000.755  000.056: parsing arguments
001.161  000.063  000.063: require('vim.shared')
001.259  000.037  000.037: require('vim._meta')
001.261  000.096  000.059: require('vim._editor')
001.262  000.189  000.030: require('vim._init_packages')
001.264  000.320: init lua interpreter
001.381  000.117: expanding arguments
001.437  000.056: inits 2
001.876  000.439: init highlight
001.877  000.001: waiting for UI
002.520  000.643: done waiting for UI
002.643  000.123: clear screen
002.814  000.171: init default mappings
002.828  000.015: init default autocommands
004.568  000.068  000.068: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
004.875  000.041  000.041: sourcing /usr/local/share/nvim/runtime/indent.vim
007.273  000.258  000.258: require('lvim.core.log')
007.276  000.459  000.202: require('lvim.utils.modules')
007.278  002.230  001.770: require('lvim.bootstrap')
008.814  000.119  000.119: require('lvim.utils')
008.821  000.920  000.801: require('lvim.plugin-loader')
010.967  000.011  000.011: require('ffi')
010.990  001.854  001.843: require('lazy.core.cache')
015.222  000.124  000.124: require('lvim.config')
015.365  000.046  000.046: require('lvim.utils.table')
015.369  000.097  000.052: require('lvim.lsp.utils')
015.432  000.061  000.061: require('lvim.icons')
015.435  000.207  000.048: require('lvim.config.defaults')
015.720  000.072  000.072: require('lvim.keymappings')
015.729  000.005  000.005: require('vim.keymap')
016.205  000.061  000.061: require('lvim.core.builtins')
016.262  000.053  000.053: require('lvim.core.theme')
016.502  000.233  000.233: require('lvim.core.which-key')
016.673  000.009  000.009: require('vim.F')
016.739  000.174  000.165: require('vim.diagnostic')
017.174  000.177  000.177: require('vim.lsp.log')
017.861  000.685  000.685: require('vim.lsp.protocol')
018.054  000.078  000.078: require('vim.lsp._snippet')
018.099  000.042  000.042: require('vim.highlight')
018.112  000.247  000.127: require('vim.lsp.util')
018.128  001.257  000.149: require('vim.lsp.handlers')
018.217  000.087  000.087: require('vim.lsp.rpc')
018.265  000.046  000.046: require('vim.lsp.sync')
018.328  000.061  000.061: require('vim.lsp.semantic_tokens')
018.397  000.066  000.066: require('vim.lsp.buf')
018.442  000.043  000.043: require('vim.lsp.diagnostic')
018.490  000.046  000.046: require('vim.lsp.codelens')
018.529  001.784  000.178: require('vim.lsp')
018.582  000.046  000.046: require('lvim.core.gitsigns')
018.647  000.061  000.061: require('lvim.core.cmp')
019.201  000.129  000.129: require('cmp.utils.debug')
019.486  000.152  000.152: require('cmp.utils.char')
019.492  000.288  000.137: require('cmp.utils.str')
019.619  000.126  000.126: require('cmp.utils.pattern')
020.021  000.133  000.133: require('cmp.utils.misc')
020.149  000.126  000.126: require('cmp.utils.buffer')
020.288  000.137  000.137: require('cmp.utils.api')
020.293  000.543  000.147: require('cmp.utils.keymap')
020.296  000.675  000.132: require('cmp.utils.feedkeys')
020.446  000.149  000.149: require('cmp.utils.async')
020.836  000.128  000.128: require('cmp.types.cmp')
021.011  000.172  000.172: require('cmp.types.lsp')
021.141  000.128  000.128: require('cmp.types.vim')
021.144  000.563  000.134: require('cmp.types')
021.271  000.125  000.125: require('cmp.utils.cache')
021.274  000.825  000.137: require('cmp.context')
021.682  000.137  000.137: require('cmp.config.mapping')
021.957  000.139  000.139: require('cmp.config.compare')
021.959  000.274  000.136: require('cmp.config.default')
021.975  000.561  000.151: require('cmp.config')
022.257  000.130  000.130: require('cmp.matcher')
022.261  000.285  000.154: require('cmp.entry')
022.267  000.993  000.146: require('cmp.source')
022.529  000.127  000.127: require('cmp.utils.event')
022.842  000.142  000.142: require('cmp.utils.window')
022.845  000.281  000.139: require('cmp.view.docs_view')
023.127  000.139  000.139: require('cmp.utils.autocmd')
023.137  000.290  000.151: require('cmp.view.custom_entries_view')
023.285  000.147  000.147: require('cmp.view.wildmenu_entries_view')
023.428  000.141  000.141: require('cmp.view.native_entries_view')
023.604  000.175  000.175: require('cmp.view.ghost_text_view')
